decay_routes
"208Po,A,99.996%,5114.7keV,91451971.47436762seconds,204Pb,A, %,1933.0keV,4.41796963644288e24seconds,200Hg,stable"
"208Po,EC+B+,0.004%,0.0keV,91451971.47436762seconds,208Bi,EC+B+,100%,0.0keV,11612948758649.855seconds,208Pb,stable"
