decay_routes
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,EC+B+,67%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"261Sg,SF,1%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,EC,19.4%,EC not yet accounted for,4.4seconds,EC not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,SF,1.3%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,EC+B+,45%,EC+B+ not yet accounted for,EC+B+ not accounted for ,EC+B+ not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,EC,64.7%,EC not yet accounted for,2700seconds,EC not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,EC,99%,EC not yet accounted for,2833920seconds,EC not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,EC,99.9958%,EC not yet accounted for,3943296seconds,EC not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,B-,100%,96.66keV,1287360seconds,225Ac,A,100%,5775.82keV,857088seconds,221Fr,A,100%,6352.02keV,294seconds,217At,A,99.993%,7063.53keV,0.0326seconds,213Bi,B-,97.86%,423.97keV,2735.4seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,24NE,0.000000000072%,24NE not yet accounted for,24NE not accounted for ,24NE not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,SF,0.00000000006%,SF not yet accounted for,SF not accounted for ,SF not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,A,0.026%,0.0keV,1287360seconds,221Rn,B-,78%,422.07keV,1500seconds,221Fr,A,100%,6352.02keV,294seconds,217At,A,99.993%,7063.53keV,0.0326seconds,213Bi,B-,97.86%,423.97keV,2735.4seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,B-,100%,96.66keV,1287360seconds,225Ac,14C,0.00000000053%,14C not yet accounted for,14C not accounted for ,14C not yet accounted for"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,A,0.026%,0.0keV,1287360seconds,221Rn,A,22%,1192.0keV,1500seconds,217Po,A,95%,6210.15keV,1.53seconds,213Pb,B-,100%,Energy not foundkeV,612seconds,213Bi,B-,97.86%,423.97keV,2735.4seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,B-,100%,96.66keV,1287360seconds,225Ac,A,100%,5775.82keV,857088seconds,221Fr,B-,0.1%,0.0keV,294seconds,221Ra,A,100%,6698.1keV,28seconds,217Rn,A,100%,7741.0keV,0.00054seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,A,0.026%,0.0keV,1287360seconds,221Rn,B-,78%,422.07keV,1500seconds,221Fr,B-,0.1%,0.0keV,294seconds,221Ra,A,100%,6698.1keV,28seconds,217Rn,A,100%,7741.0keV,0.00054seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,A,0.026%,0.0keV,1287360seconds,221Rn,A,22%,1192.0keV,1500seconds,217Po,B-,5%,0.0keV,1.53seconds,217At,A,99.993%,7063.53keV,0.0326seconds,213Bi,B-,97.86%,423.97keV,2735.4seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
"261Sg,A,100%,0.0keV,0.23seconds,257Rf,A,79.3%,0.0keV,4.4seconds,253No,A,55%,7350.69keV,97.2seconds,249Fm,A,33%,0.0keV,156seconds,245Cf,A,35.3%,2517.85keV,2700seconds,241Cm,A,1%,59.29keV,2833920seconds,237Pu,A,0.0042%,0.337keV,3943296seconds,233U,A,100%,4805.85keV,5023547045895.301seconds,229Th,A,100%,4919.53keV,248668576679.78497seconds,225Ra,B-,100%,96.66keV,1287360seconds,225Ac,A,100%,5775.82keV,857088seconds,221Fr,A,100%,6352.02keV,294seconds,217At,B-,0.007%,0.0keV,0.0326seconds,217Rn,A,100%,7741.0keV,0.00054seconds,213Po,A,100%,nothingkeV,0.000003706seconds,209Pb,B-,100%,197.5keV,11642.4seconds,209Bi,A,100%,3075.69keV,6.342942120892992e26seconds,205Tl,stable"
