,e-Folding Time (seconds),Average beta-decay energy,Daughter
222Fr,1229.176174837397,51.0,222Ra
222Ra,48.47455337386918,6237.0,222Ac
222Ac,7.213475204444817,5.69,222Th
222Th,0.0032316368915912778,5.69,222Pa
222Pa,0.005482241155378062,5.69,222U
222U,6.780666692178128e-06,5.69,222Np
222Np,6.924936196267025e-07,5.69,222Pu
222Pu,1.4426950408889633e-05,5.69,222Am
